Customer_ID,Customer_Name,Age,Gender,Occupation,Annual_Income,Marital_Status,Email,Phone
C00001,Advik Maharaj,68,Male,Engineer,733478,Married,udantdewan@example.net,+918196001338
C00002,Hardik Saini,68,Male,Business Owner,4544854,Single,saumyamall@example.org,+916542351161
C00003,Orinder Lalla,58,Male,Engineer,1643716,Married,sharafjeet@example.com,+918495931034
C00004,Jackson Chaudhuri,34,Male,Software Engineer,662489,Single,dmall@example.net,02553419283
C00005,Vihaan Raghavan,56,Male,Sales Executive,931262,Single,theodore50@example.org,+915641395376
C00006,Eshana Lanka,35,Female,Professor,1642825,Married,yatinyohannan@example.com,9696532871
C00007,Christopher Dua,69,Male,Architect,1183408,Single,pahalbhatt@example.com,09784801845
C00008,Nandini Saran,38,Female,Professor,1386286,Single,sudikshaaggarwal@example.net,4828148932
C00009,Faris Zacharia,26,Male,Business Owner,6447119,Married,naikvrinda@example.org,+915430391171
C00010,Eesha Soman,59,Female,Doctor,2505668,Married,alkawable@example.net,03834657871
C00011,Jeevika Bhatt,55,Female,Consultant,982244,Single,ansh98@example.org,3010310518
C00012,Liam Sunder,56,Male,Student,99230,Married,kevinsolanki@example.org,06311656670
C00013,Bhavani Rau,57,Female,Entrepreneur,6273412,Single,ikbal33@example.org,7262473178
C00014,Aryan Zachariah,63,Male,Professor,645867,Single,chanderwarjas@example.org,07736026064
C00015,Luke Sampath,35,Male,Consultant,2013781,Single,mdubey@example.com,+910980500978
C00016,Barkha Trivedi,61,Female,Lawyer,1965905,Married,grewalekapad@example.net,+913619399091
C00017,Yutika Mutti,34,Female,Teacher,688162,Married,samarth53@example.com,02475107991
C00018,Hredhaan Toor,55,Male,Professor,649741,Single,kevin51@example.org,04278498084
C00019,Ekani Lalla,38,Female,Teacher,784714,Single,chhabranachiket@example.com,09353487401
C00020,Lakshit Basu,35,Male,Engineer,1180070,Single,nathkalpit@example.net,02786801128
C00021,Reva Divan,38,Female,Consultant,2123105,Single,cdatta@example.com,00533158692
C00022,Finn Goel,62,Male,Business Owner,6079418,Married,lbakshi@example.net,06342160733
C00023,Pushti Mody,30,Female,Lawyer,3496316,Married,udantbajwa@example.net,+916541458685
C00024,Devika Lal,68,Female,Teacher,558607,Married,alkabarad@example.org,6556981693
C00025,Anya Sarin,44,Female,Student,152969,Single,venkateshronith@example.com,01595148465
C00026,Neelima Datta,26,Female,Teacher,834277,Single,osharaghavan@example.net,2994680443
C00027,Naveen Shroff,61,Male,Entrepreneur,1919803,Single,rsathe@example.org,7214895134
C00028,Ira Din,59,Female,Consultant,3654145,Single,batrayash@example.com,1769367632
C00029,Damyanti Sandal,54,Female,Lawyer,2400627,Married,patrickvasa@example.com,+918317278895
C00030,Zayyan Sandhu,64,Male,Sales Executive,312038,Married,vdutt@example.com,04348734714
C00031,Madhavi Nayak,28,Female,Consultant,3488388,Married,faris22@example.org,02316658760
C00032,Ucchal Ramachandran,21,Female,Lawyer,1463361,Married,raivansha@example.org,04668893734
C00033,Xavier Balakrishnan,61,Male,Sales Executive,487330,Married,qnayar@example.net,02729806990
C00034,Tanish Deshmukh,30,Male,Entrepreneur,6359896,Married,dgopal@example.com,05375564641
C00035,Aditya Zacharia,59,Male,Consultant,1477585,Married,pallaudarsh@example.net,+910033092327
C00036,Ikbal Shroff,44,Male,Chartered Accountant,781691,Married,jyoti29@example.net,1241904966
C00037,Baljiwan Kibe,57,Male,Business Owner,1771823,Single,mitrajai@example.net,+915865185067
C00038,Upma Pathak,25,Female,Doctor,4069842,Single,bdua@example.org,8498776945
